acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,label
0.10,0.05,0.98,0.01,0.02,0.00,0
0.12,0.04,0.97,0.01,0.03,0.01,0
0.11,0.06,0.99,0.00,0.02,0.01,0
0.09,0.05,1.01,0.02,0.01,0.00,0
0.10,0.04,0.99,0.01,0.02,0.01,0
0.50,0.30,1.50,0.20,0.10,0.30,1
0.60,0.40,1.60,0.30,0.20,0.40,1
0.55,0.35,1.55,0.25,0.15,0.35,1
0.58,0.38,1.58,0.28,0.18,0.38,1
0.52,0.32,1.52,0.22,0.12,0.32,1
0.09,0.05,1.00,0.01,0.02,0.01,0
0.11,0.04,0.99,0.01,0.03,0.01,0
0.10,0.06,1.01,0.00,0.02,0.00,0
0.12,0.05,0.98,0.02,0.01,0.01,0
0.13,0.07,1.02,0.02,0.03,0.02,0
0.14,0.06,1.01,0.03,0.02,0.01,0
0.48,0.28,1.48,0.19,0.09,0.29,1
0.62,0.42,1.62,0.31,0.21,0.41,1
0.56,0.36,1.56,0.26,0.16,0.36,1
0.59,0.39,1.59,0.29,0.19,0.39,1
0.51,0.31,1.51,0.21,0.11,0.31,1
0.08,0.04,0.99,0.00,0.01,0.00,0
0.10,0.03,0.98,0.01,0.02,0.01,0
0.09,0.05,1.00,0.00,0.02,0.00,0
0.11,0.04,0.99,0.01,0.03,0.01,0
0.10,0.05,0.99,0.01,0.02,0.01,0
0.51,0.29,1.49,0.19,0.09,0.29,1
0.61,0.39,1.59,0.29,0.19,0.39,1
0.54,0.34,1.54,0.24,0.14,0.34,1
0.57,0.37,1.57,0.27,0.17,0.37,1
0.53,0.33,1.53,0.23,0.13,0.33,1
0.09,0.05,0.99,0.01,0.02,0.01,0
0.12,0.04,0.97,0.01,0.03,0.01,0
0.11,0.06,0.99,0.00,0.02,0.01,0
0.09,0.05,1.01,0.02,0.01,0.00,0
0.10,0.04,0.99,0.01,0.02,0.01,0
0.52,0.30,1.50,0.20,0.10,0.30,1
0.63,0.41,1.61,0.31,0.21,0.41,1
0.56,0.35,1.55,0.25,0.15,0.35,1
0.58,0.38,1.58,0.28,0.18,0.38,1
0.50,0.32,1.52,0.22,0.12,0.32,1
0.08,0.04,1.00,0.01,0.02,0.01,0
0.10,0.04,0.99,0.01,0.03,0.01,0
0.09,0.06,1.01,0.00,0.02,0.00,0
0.12,0.05,0.98,0.02,0.01,0.01,0
0.11,0.06,1.02,0.02,0.03,0.02,0
0.15,0.07,1.03,0.03,0.02,0.01,0
0.49,0.29,1.49,0.19,0.09,0.29,1
0.60,0.40,1.60,0.30,0.20,0.40,1
0.55,0.35,1.55,0.25,0.15,0.35,1
0.57,0.37,1.57,0.27,0.17,0.37,1
0.51,0.31,1.51,0.21,0.11,0.31,1
0.09,0.05,0.99,0.01,0.02,0.01,0
0.12,0.04,0.97,0.01,0.03,0.01,0
0.11,0.06,0.99,0.00,0.02,0.01,0
0.10,0.05,1.00,0.02,0.01,0.00,0
0.10,0.04,0.99,0.01,0.02,0.01,0
0.50,0.30,1.50,0.20,0.10,0.30,1
0.62,0.42,1.62,0.32,0.22,0.42,1
0.56,0.36,1.56,0.26,0.16,0.36,1
0.59,0.39,1.59,0.29,0.19,0.39,1
0.52,0.32,1.52,0.22,0.12,0.32,1
